企業名,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業文化,働き方,求められるスキル・特性,評価制度,,,,,,,,,,,
ユニバーサル・リサーチ・インスティテュート,INTJ,"ENTP, INTP, INFJ",https://www.uri.co.jp/,シンクタンク・コンサルティング,中規模,調査分析・戦略立案,フレックス制,データ分析・コンサルティング,成果主義,,,,,,,,,,,
ユニバーサルミュージックジャパン,ENFP,"INFJ, ENTP, ENTJ",https://www.universal-music.co.jp/,音楽,大規模,クリエイティブ志向,フレックス制,音楽プロデュース・マーケティング,成果主義,,,,,,,,,,,
ユニプレス,ISTP,"ESTP, ISTJ, ESTJ",https://www.unipres.co.jp/,製造（自動車部品）,大規模,技術志向・自動車業界向け,フレックス制,製造技術・開発,年功序列,,,,,,,,,,,
ヨドバシカメラ,ESTP,"ESFP, ENTP, ISTP",https://www.yodobashi.com/,小売（家電）,大規模,販売力重視,シフト制,接客・店舗管理,実力主義,,,,,,,,,,,
ラウンドワン,ESFP,"ENTP, ENFP, ESFJ",https://www.round1.co.jp/,アミューズメント,大規模,ホスピタリティ重視,シフト制,接客・店舗運営,年功序列,,,,,,,,,,,
ランサーズ,ENTP,"INFJ, ENFP, ENTJ",https://www.lancers.co.jp/,クラウドソーシング,中規模,フリーランス支援,フレックス制,営業・マーケティング,成果主義,,,,,,,,,,,
ランスタッド,ISTJ,"ESTJ, ENTJ, ISTP",https://www.randstad.co.jp/,人材サービス,大規模,グローバル志向・柔軟な働き方支援,フレックス制,人材マネジメント・営業,成果主義,,,,,,,,,,,
リクルートエージェント,ENTP,"INFJ, ENFP, ENTJ",https://www.r-agent.com/,人材サービス,大規模,キャリア支援重視,フレックス制,採用・営業,成果主義,,,,,,,,,,,
リクルートキャリア,ENTP,"INFJ, ENFP, ENTJ",https://www.recruitcareer.co.jp/,人材・求人サービス,大規模,データ活用型採用支援,フレックス制,マーケティング・営業,成果主義,,,,,,,,,,,
リクルートホールディングス,ENTP,"INFJ, ENFP, ENTJ",https://www.recruit-holdings.co.jp/,人材・メディア,大規模,データドリブン,フレックス制,マーケティング・開発,成果主義,,,,,,,,,,,
リコー,ISTJ,"ESTJ, ENTJ, ISTP",https://jp.ricoh.com/,電機,大規模,技術開発重視,フレックス制,エンジニアリング・製品開発,成果主義,,,,,,,,,,,
りそなホールディングス,ISTJ,"ESTJ, ENTJ, ISTP",https://www.resona-gr.co.jp/holdings/,金融,大規模,安定志向,フレックス制,金融知識・営業,年功序列,,,,,,,,,,,
りそな銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.resonabank.co.jp/,金融,大規模,地域密着・安定志向,固定勤務,金融知識・営業,年功序列,,,,,,,,,,,
リッチモンドホテル,ISFJ,"ESFJ, ISTJ, ESTJ",https://richmondhotel.jp/,ホテル,大規模,ホスピタリティ重視,シフト制,接客・運営,年功序列,,,,,,,,,,,
リンガーハット,ESFP,"ENTP, ENFP, ESFJ",https://www.ringerhut.jp/,飲食,大規模,健康志向・地域密着,シフト制,接客・店舗運営,年功序列＋成果評価,,,,,,,,,,,
ルートインホテルズ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.route-inn.co.jp/,ホテル,大規模,ホスピタリティ重視,シフト制,接客・運営,年功序列,,,,,,,,,,,
ルネサスエレクトロニクス,INTJ,"ENTP, INTP, INFJ",https://www.renesas.com/jp/ja,半導体,大規模,技術志向,フレックス制,エンジニアリング・製品開発,成果主義,,,,,,,,,,,
レオパレスリフォーム,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.leopalace21.com/,不動産,中規模,安定志向,固定勤務,建築・リフォーム技術,成果主義,,,,,,,,,,,
ロイヤルホスト,ESFJ,"ENTP, ENFP, ESFP",https://www.royalhost.jp/,飲食,大規模,ホスピタリティ重視,シフト制,接客・運営,年功序列＋成果評価,,,,,,,,,,,
ローソン,ESFJ,"ENTP, ENFP, ESFP",https://www.lawson.co.jp/,小売（コンビニ）,大規模,地域密着・イノベーション志向,シフト制,接客・店舗管理,成果主義,,,,,,,,,,,
ロート製薬,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.rohto.co.jp/,製薬,大規模,研究開発志向,フレックス制,薬学知識・研究,年功序列＋成果評価,,,,,,,,,,,
ローム,ISTP,"ESTP, ISTJ, ESTJ",https://www.rohm.co.jp/,半導体,大規模,技術志向,フレックス制,エンジニアリング・開発,成果主義,,,,,,,,,,,
ワークポート,ENFP,"INFJ, ENTP, ENTJ",https://www.workport.co.jp/,人材サービス,中規模,キャリア支援重視,フレックス制,採用・営業,成果主義,,,,,,,,,,,
ワーナーブラザーズジャパン,ENFP,"INFJ, ENTP, ENTJ",https://warnerbros.co.jp/,映画・エンタメ,大規模,クリエイティブ志向,フレックス制,映像制作・マーケティング,成果主義,,,,,,,,,,,
ワーナーミュージック・ジャパン,ENFP,"INFJ, ENTP, ENTJ",https://wmg.jp/,音楽,大規模,クリエイティブ志向,フレックス制,音楽プロデュース・マーケティング,成果主義,,,,,,,,,,,
愛知製鋼,ISTJ,"ESTJ, ENTJ, ISTP",https://www.aichi-steel.co.jp/,製造,大規模,安定志向,フレックス制,材料開発・製造技術,年功序列＋成果評価,,,,,,,,,,,
旭化成,ISTP,"ESTP, ISTJ, ESTJ",https://www.asahi-kasei.com/,化学・素材,大規模,技術開発志向,フレックス制,化学・研究開発,年功序列＋成果評価,,,,,,,,,,,
旭化成ホームズ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.asahi-kasei.co.jp/hebel/,住宅,大規模,安定志向,フレックス制,建築・設計,年功序列＋成果評価,,,,,,,,,,,
旭化成リフォーム,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.asahi-kasei.co.jp/hebel-reform/,住宅,中規模,安定志向,フレックス制,リフォーム技術,成果主義,,,,,,,,,,,
伊藤園,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.itoen.co.jp/,食品・飲料,大規模,健康志向・環境配慮,フレックス制,販売・マーケティング,成果主義,,,,,,,,,,,
伊藤忠エネクス,ENTJ,"ESTJ, ENTP, INTJ",https://www.itcenex.com/,商社（エネルギー）,大規模,グローバル志向,フレックス制,貿易・営業,成果主義,,,,,,,,,,,
伊藤忠インタラクティブ,ENTJ,"ESTJ, ENTP, INTJ",https://www.market.co.jp,商社（電子部品）,大規模,技術志向,フレックス制,貿易・エレクトロニクス知識,成果主義,,,,,,,,,,,
伊藤忠テクノソリューションズ,ENTJ,"ESTJ, ENTP, INTJ",https://www.ctc-g.co.jp/,IT,大規模,技術開発志向,フレックス制,IT技術・システム開発,成果主義,,,,,,,,,,,
伊藤忠丸紅鉄鋼,ENTJ,"ESTJ, ENTP, INTJ",https://www.itoham.co.jp/,商社（鉄鋼）,大規模,グローバル志向,フレックス制,貿易・鉄鋼知識,成果主義,,,,,,,,,,,
伊藤忠商事,ENTJ,"ESTJ, ENTP, INTJ",https://www.itochu.co.jp/,総合商社,大規模,グローバル志向,フレックス制,貿易・営業,成果主義,,,,,,,,,,,
伊藤忠食品,ENTJ,"ESTJ, ENTP, INTJ",https://www.itochu-shokuhin.com/,商社（食品）,大規模,健康志向・グローバル志向,フレックス制,貿易・食品知識,成果主義,,,,,,,,,,,
伊予銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.iyobank.co.jp/,金融,大規模,地域密着,フレックス制,金融知識・営業,年功序列＋成果評価,,,,,,,,,,,
一蘭,ISTP,"ESTP, ISTJ, ESTJ",https://ichiran.com/,飲食,中規模,ブランド志向,シフト制,接客・店舗運営,実力主義,,,,,,,,,,,
宇部興産,ISTJ,"ESTJ, ENTJ, ISTP",https://www.ube-ind.co.jp/,化学・素材,大規模,技術開発志向,フレックス制,化学・製造技術,年功序列＋成果評価,,,,,,,,,,,
塩野義製薬,ISTP,"ESTP, ISTJ, ESTJ",https://www.shionogi.co.jp/,製薬,大規模,研究開発志向,フレックス制,薬学知識・研究,年功序列＋成果評価,,,,,,,,,,,
奥村組,ISTJ,"ESTJ, ENTJ, ISTP",https://www.okumuragumi.co.jp/,建設,大規模,安定志向,フレックス制,建築・施工管理,年功序列＋成果評価,,,,,,,,,,,
旺文社,INFJ,"ENFP, INTJ, ENTP",https://www.obunsha.co.jp/,出版,中規模,教育志向,フレックス制,編集・ライティング,成果主義,,,,,,,,,,,
横河電機,ISTJ,"ESTJ, ENTJ, ISTP",https://www.yokogawa.co.jp/,電機,大規模,技術開発志向,フレックス制,エンジニアリング・製品開発,成果主義,,,,,,,,,,,
岡村製作所,ISTJ,"ESTJ, ENTJ, ISTP",https://www.okamura.co.jp/,製造（家具・オフィス）,大規模,デザイン・品質重視,フレックス制,設計・製造技術,年功序列＋成果評価,,,,,,,,,,,
岡谷鋼機,ISTJ,"ESTJ, ENTJ, ISTP",,商社（鉄鋼）,大規模,グローバル志向,フレックス制,貿易・営業,成果主義,,,,,,,,,,,
河合塾,INTJ,"ENTP, INTP, INFJ",https://www.kawai-juku.ac.jp/,教育,大規模,学習支援重視,フレックス制,教育・指導,年功序列＋成果評価,,,,,,,,,,,
角川グループ,ENFP,"INFJ, ENTP, ENTJ",https://group.kadokawa.co.jp/,出版・エンタメ,大規模,クリエイティブ志向,フレックス制,編集・ライティング・映像制作,成果主義,,,,,,,,,,,
学研ホールディングス,INFJ,"ENFP, INTJ, ENTP",https://www.gakken.co.jp/,教育・出版,大規模,教育志向,フレックス制,教育・教材開発,年功序列＋成果評価,,,,,,,,,,,
学研教育出版,INFJ,"ENFP, INTJ, ENTP",https://quantum.ne.jp/,出版,大規模,教育志向,フレックス制,編集・ライティング,年功序列＋成果評価,,,,,,,,,,,
楽天グループ,ENTP,"INFJ, ENFP, ENTJ",https://corp.rakuten.co.jp/,IT・EC,大規模,イノベーション・挑戦志向,フレックス制・リモート可,ITスキル・データ分析,成果主義,,,,,,,,,,,
楽天トラベル,ESFP,"ENTP, ENFP, ESFJ",https://travel.rakuten.co.jp/,旅行,大規模,グローバル・サービス志向,フレックス制・リモート可,旅行業知識・マーケティング,成果主義,,,,,,,,,,,
楽天モバイル,ENTP,"INFJ, ENFP, ENTJ",https://network.mobile.rakuten.co.jp/,通信,大規模,テクノロジー志向,フレックス制・リモート可,ネットワーク技術・マーケティング,成果主義,,,,,,,,,,,
楽天銀行,ENTJ,"ESTJ, ENTP, INTJ",https://www.rakuten-bank.co.jp/,金融,大規模,デジタルバンク志向,フレックス制・リモート可,金融知識・システム開発,成果主義,,,,,,,,,,,
楽天市場,ENTP,"INFJ, ENFP, ENTJ",https://www.rakuten.co.jp/,EC,大規模,イノベーション・顧客志向,フレックス制・リモート可,マーケティング・データ分析,成果主義,,,,,,,,,,,
楽天証券,ENTJ,"ESTJ, ENTP, INTJ",https://www.rakuten-sec.co.jp/,金融,大規模,デジタル金融志向,フレックス制・リモート可,投資・データ分析,成果主義,,,,,,,,,,,
株式会社10X,INTJ,"ENTP, INTP, INFJ",https://10x.co.jp/,IT・スタートアップ,小規模,テクノロジー・高速開発,フルリモート・フレックス,開発スキル・プロダクトマネジメント,実力主義,,,,,,,,,,,
株式会社3Sunny,ESFP,"ENTP, ENFP, ESFJ",https://www.3sunny.net/,スタートアップ,小規模,チャレンジ・成長志向,フルリモート・フレックス,事業開発・マーケティング,実力主義,,,,,,,,,,,
株式会社A.L.I. Technologies,ENTP,"INFJ, ENFP, ENTJ",https://ali.jp/,IT・ドローン,小規模,先端技術志向,フレックス制・リモート可,AI・ドローン技術,実力主義,,,,,,,,,,,
株式会社akippa,ENFP,"INFJ, ENTP, ENTJ",https://akippa.com/,モビリティ・駐車場シェア,小規模,イノベーション・利便性重視,フレックス制・リモート可,データ分析・マーケティング,成果主義,,,,,,,,,,,
株式会社Autify,INFJ,"ENFP, INTJ, ENTP",https://autify.com/,IT・AI,小規模,AI・自動化志向,フルリモート・フレックス,ソフトウェアテスト・AI,実力主義,,,,,,,,,,,
株式会社Bespoke,ENFP,"INFJ, ENTP, ENTJ",https://www.bespokecorp.jp/,AI・観光,小規模,グローバル・AI活用,フレックス制・リモート可,自然言語処理・観光知識,成果主義,,,,,,,,,,,
株式会社D2C,ISTP,"ESTP, ISTJ, ESTJ",https://www.d2c.co.jp/,広告,中規模,デジタルマーケティング,フレックス制・リモート可,マーケティング・広告運用,成果主義,,,,,,,,,,,
株式会社Exa Innovation Studio,INTJ,"ENTP, INTP, INFJ",https://www.eisnetwork.co/,IT・コンサル,小規模,研究開発・データ志向,フルリモート,AI・データサイエンス,実力主義,,,,,,,,,,,
株式会社Finatextホールディングス,INTJ,"ENTP, INTP, INFJ",https://finatext.com/,FinTech,小規模,金融・テクノロジー志向,フレックス制・リモート可,金融データ分析・AI,成果主義,,,,,,,,,,,
株式会社FOLIO,ENTP,"INFJ, ENFP, ENTJ",https://folio-sec.com/,FinTech,小規模,投資・デジタル金融,フレックス制・リモート可,投資知識・データ分析,成果主義,,,,,,,,,,,
株式会社GA Technologies,ENTJ,"ESTJ, ENTP, INTJ",https://www.ga-tech.co.jp/,不動産テック,中規模,DX推進・データ活用,フレックス制・リモート可,不動産知識・システム開発,成果主義,,,,,,,,,,,
株式会社HENNGE,ENTP,"INFJ, ENFP, ENTJ",https://hennge.com/,IT・クラウド,中規模,セキュリティ・クラウド志向,フレックス制・リモート可,クラウド・セキュリティ,成果主義,,,,,,,,,,,
株式会社JCBインターナショナル,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jcb.jp/,金融,大規模,グローバル金融,フレックス制・リモート可,クレジットカード事業・データ分析,年功序列＋成果評価,,,,,,,,,,,
株式会社Kaizen Platform,ENTP,"INFJ, ENFP, ENTJ",https://kaizenplatform.com/,SaaS,小規模,グロースハック・データ志向,フレックス制・リモート可,マーケティング・UX/UI,成果主義,,,,,,,,,,,
株式会社Kyash,ENFP,"INFJ, ENTP, ENTJ",https://kyash.co/,FinTech,小規模,キャッシュレス推進,フレックス制・リモート可,モバイル決済・セキュリティ,成果主義,,,,,,,,,,,
株式会社LabBase,ENFP,"INFJ, ENTP, ENTJ",https://labbase.jp/,EdTech,小規模,研究者支援,フレックス制・リモート可,データ分析・教育,成果主義,,,,,,,,,,,
株式会社LITALICO,INTJ,"ENTP, INTP, INFJ",https://litalico.co.jp/,教育・福祉,中規模,インクルージョン志向,フレックス制,福祉・教育,成果主義,,,,,,,,,,,
株式会社NTTデータ経営研究所,ENTP,"INFJ, ENFP, ENTJ",https://www.nttdata-strategy.com/,コンサルティング,大規模,DX推進・データ活用,フレックス制・リモート可,ITコンサル・データ分析,成果主義,,,,,,,,,,,
株式会社pring,ENFP,"INFJ, ENTP, ENTJ",https://www.pring.jp/,FinTech,小規模,キャッシュレス志向,フレックス制・リモート可,金融データ分析,成果主義,,,,,,,,,,,
株式会社QUANTUM,ENTP,"INFJ, ENFP, ENTJ",https://quantum.ne.jp/,ベンチャー支援,小規模,イノベーション・起業支援,フレックス制・リモート可,スタートアップ支援,実力主義,,,,,,,,,,,
株式会社RevComm,ENTJ,"ESTJ, ENTP, INTJ",https://revcomm.co.jp/,AI・音声解析,小規模,データ活用・コミュニケーション志向,フレックス制・リモート可,AI・音声解析,実力主義,,,,,,,,,,,
株式会社ROXX,INTJ,"ENTP, INTP, INFJ",https://roxx.co.jp/,HRテック,小規模,採用支援・データ活用,フレックス制・リモート可,採用マーケティング,成果主義,,,,,,,,,,,
株式会社Spiber,INTJ,"ENTP, INTP, INFJ",https://www.spiber.jp/,バイオテクノロジー,中規模,環境・素材開発志向,フレックス制・リモート可,バイオテクノロジー・研究,成果主義,,,,,,,,,,,
株式会社Synamon,ENFP,"INFJ, ENTP, ENTJ",https://tential.jp/,IT・VR,小規模,メタバース・VR推進,フレックス制・リモート可,VR開発・3D技術,実力主義,,,,,,,,,,,
株式会社TENTIAL,ENFP,"INFJ, ENTP, ENTJ",https://tential.jp/,ヘルスケア,小規模,健康・ウェルネス志向,フレックス制・リモート可,プロダクト開発・マーケティング,成果主義,,,,,,,,,,,
株式会社Ubie,ENTJ,"ESTJ, ENTP, INTJ",https://ubie.life/,ヘルステック,小規模,AI・医療DX志向,フレックス制・リモート可,AI・データ解析,実力主義,,,,,,,,,,,
株式会社WACUL,ISTJ,"ESTJ, ENTJ, ISTP",https://wacul.co.jp/,データマーケティング,小規模,AI・データ活用,フレックス制・リモート可,データ分析・マーケティング,成果主義,,,,,,,,,,,
株式会社アーネストワン,INTJ,"ENTP, INTP, INFJ",https://www.arnest1.co.jp/,建築・不動産,中規模,安定・成長志向,固定勤務,不動産開発・営業,年功序列＋成果評価,,,,,,,,,,,
株式会社アイデミー,ISFJ,"ESFJ, ISTJ, ESTJ",https://aidemy.co.jp/,EdTech,小規模,AI教育推進,フレックス制・リモート可,AI・教育コンテンツ開発,成果主義,,,,,,,,,,,
株式会社アイデム,ENFP,"INFJ, ENTP, ENTJ",https://www.aidem.co.jp/,人材,中規模,地域密着型,フレックス制,採用支援・営業,年功序列,,,,,,,,,,,
株式会社アカツキ,ISTJ,"ESTJ, ENTJ, ISTP",https://aktsk.jp/,IT・ゲーム,中規模,クリエイティブ・挑戦志向,フレックス制・リモート可,ゲーム開発・マーケティング,成果主義,,,,,,,,,,,
株式会社アクサ生命保険,ENTJ,"ESTJ, ENTP, INTJ",https://www.axa.co.jp/,保険,大規模,安定志向・顧客重視,固定勤務,保険知識・営業,年功序列＋成果評価,,,,,,,,,,,
株式会社アメリカン・エキスプレス日本支社,ENTP,"INFJ, ENFP, ENTJ",https://www.americanexpress.com/ja-jp/,金融（クレジットカード）,大規模,グローバル金融,フレックス制・リモート可,カードビジネス・マーケティング,年功序列＋成果評価,,,,,,,,,,,
株式会社アライドアーキテクツ,ESTJ,"ENTP, ISTJ, ENTJ",https://www.aainc.co.jp/,デジタルマーケティング,小規模,SNS・インフルエンサーマーケ志向,フレックス制・リモート可,マーケティング・データ分析,成果主義,,,,,,,,,,,
株式会社アンドパッド,ENTP,"INFJ, ENFP, ENTJ",https://andpad.co.jp/,SaaS（建設DX）,小規模,DX・効率化推進,フレックス制・リモート可,システム開発・建築知識,成果主義,,,,,,,,,,,
株式会社ウェルスナビ,ENTP,"INFJ, ENFP, ENTJ",https://www.wealthnavi.com/,FinTech,中規模,長期資産形成志向,フレックス制・リモート可,金融知識・データ分析,成果主義,,,,,,,,,,,
株式会社エアロネクスト,ESTP,"ESFP, ENTP, ISTP",https://aeronext.co.jp/,ドローン,小規模,最先端技術志向,フレックス制・リモート可,ドローン技術・AI,実力主義,,,,,,,,,,,
株式会社エニキャリ,INTJ,"ENTP, INTP, INFJ",https://www.anycarry.co.jp//,物流テック,小規模,ラストワンマイル志向,フレックス制・リモート可,物流最適化・データ分析,成果主義,,,,,,,,,,,
株式会社エムスリー,ENTJ,"ESTJ, ENTP, INTJ",https://corporate.m3.com/,医療DX,大規模,データ活用・医療支援,フレックス制・リモート可,医療知識・AI分析,成果主義,,,,,,,,,,,
株式会社オープンハウス,INFJ,"ENFP, INTJ, ENTP",https://openhouse-group.co.jp/,不動産,大規模,成果主義・営業重視,固定勤務,不動産知識・営業力,成果主義,,,,,,,,,,,
株式会社オープンワーク,ESTJ,"ENTP, ISTJ, ENTJ",https://www.openwork.co.jp/,HRテック,小規模,キャリア支援,フレックス制・リモート可,データ分析・UX設計,成果主義,,,,,,,,,,,
株式会社お金のデザイン,ESTJ,"ENTP, ISTJ, ENTJ",https://www.money-design.com/about/company/,FinTech,小規模,長期投資志向,フレックス制・リモート可,金融知識・データ分析,成果主義,,,,,,,,,,,
株式会社カーメイト,ENTP,"INFJ, ENFP, ENTJ",https://www.carmate.co.jp/,自動車用品,中規模,製品開発志向,固定勤務,プロダクトデザイン・販売企画,年功序列,,,,,,,,,,,
株式会社カウシェ,ENTP,"INFJ, ENFP, ENTJ",https://corporate.kakaku.com/,EC,小規模,共同購入・シェアリング,フレックス制・リモート可,マーケティング・データ分析,成果主義,,,,,,,,,,,
株式会社カカクコム,ENTP,"INFJ, ENFP, ENTJ",https://corporate.kakaku.com/,IT・比較サイト,中規模,データドリブン,フレックス制・リモート可,UX設計・データ分析,成果主義,,,,,,,,,,,
株式会社カケハシ,ENTP,"INFJ, ENFP, ENTJ",https://www.kakehashi.life/,ヘルステック,小規模,医療DX,フレックス制・リモート可,薬局業務改善・AI,成果主義,,,,,,,,,,,
株式会社カラクリ,ISFJ,"ESFJ, ISTJ, ESTJ",https://karakuri.ai/,AI,小規模,自動化・カスタマーサポートDX,フレックス制・リモート可,AI・自然言語処理,成果主義,,,,,,,,,,,
株式会社かんぽ生命保険,ENFP,"INFJ, ENTP, ENTJ",https://www.jp-life.japanpost.jp/,保険,大規模,安定志向,固定勤務,保険知識・顧客対応,年功序列＋成果評価,,,,,,,,,,,
株式会社グノシー,ENFP,"INFJ, ENTP, ENTJ",https://www.gunosy.co.jp/,IT・メディア,中規模,データ活用,フレックス制・リモート可,AI・コンテンツ配信,成果主義,,,,,,,,,,,
株式会社クラウドクレジット,ENFP,"INFJ, ENTP, ENTJ",https://crowdcredit.jp/,FinTech,小規模,投資・金融志向,フレックス制・リモート可,金融データ分析,成果主義,,,,,,,,,,,
株式会社クラウドワークス,ISFP,"ESFP, ENFP, INFP",https://crowdworks.co.jp/,クラウドソーシング,中規模,フリーランス支援,フレックス制・リモート可,マッチング・プラットフォーム運営,成果主義,,,,,,,,,,,
株式会社クラス,ENTJ,"ESTJ, ENTP, INTJ",https://clas.style/,家具レンタル,小規模,サブスク・シェアリング志向,フレックス制・リモート可,事業開発・マーケティング,成果主義,,,,,,,,,,,
株式会社グロービス・キャピタル・パートナーズ,ENFP,"INFJ, ENTP, ENTJ",https://www.globiscapital.co.jp/,ベンチャーキャピタル,小規模,スタートアップ投資志向,フレックス制・リモート可,投資分析・ファイナンス,実力主義,,,,,,,,,,,
株式会社ココナラ,INTP,"INTJ, ENTP, INFP",https://coconala.co.jp/,IT・スキルマーケット,中規模,フリーランス支援,フレックス制・リモート可,マーケティング・UX設計,成果主義,,,,,,,,,,,
株式会社サーバーワークス,ENTP,"INFJ, ENFP, ENTJ",https://www.serverworks.co.jp/,IT・クラウド,小規模,AWS特化,フレックス制・リモート可,クラウド技術・システム開発,成果主義,,,,,,,,,,,
株式会社スクラムベンチャーズ,ISTJ,"ESTJ, ENTJ, ISTP",https://scrum.vc/,ベンチャーキャピタル,小規模,グローバル投資,フレックス制・リモート可,投資分析・ビジネス戦略,実力主義,,,,,,,,,,,
株式会社スケールアウト,ESTJ,"ENTP, ISTJ, ENTJ",https://www.scale-out.co.jp/,IT・アドテク,小規模,データドリブンマーケティング,フレックス制・リモート可,データ解析・広告運用,成果主義,,,,,,,,,,,
株式会社スタッフサービス,ENFP,"INFJ, ENTP, ENTJ",https://www.staffservice.co.jp/,人材,大規模,派遣・BPO支援,固定勤務,採用支援・営業,年功序列＋成果評価,,,,,,,,,,,
株式会社スタディサプリ,ENTP,"INFJ, ENFP, ENTJ",https://studysapuri.jp/,EdTech,中規模,教育DX推進,フレックス制・リモート可,教育コンテンツ開発・マーケティング,成果主義,,,,,,,,,,,
株式会社スマートバンク,ENTP,"INFJ, ENFP, ENTJ",https://smartbank.co.jp/,FinTech,小規模,デジタル決済・金融DX,フレックス制・リモート可,金融データ分析・マーケティング,成果主義,,,,,,,,,,,
株式会社スマートプラス,ISTJ,"ESTJ, ENTJ, ISTP",https://www.smartplus-sec.com/,FinTech,小規模,投資・証券DX,フレックス制・リモート可,証券業務・データ分析,成果主義,,,,,,,,,,,
株式会社セーフィー,ISTJ,"ESTJ, ENTJ, ISTP",https://safie.jp/,IoT・監視カメラ,小規模,監視・セキュリティDX,フレックス制・リモート可,AI・画像解析,成果主義,,,,,,,,,,,
株式会社ソニー生命保険,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.sonylife.co.jp/,保険,大規模,安定志向・顧客重視,固定勤務,保険営業・金融知識,年功序列＋成果評価,,,,,,,,,,,
株式会社タマホーム,ENTJ,"ESTJ, ENTP, INTJ",https://www.tamahome.jp/,住宅,大規模,成果主義・営業重視,固定勤務,不動産営業・建築知識,成果主義,,,,,,,,,,,
株式会社チームスピリット,ENTP,"INFJ, ENFP, ENTJ",https://www.bizreach.co.jp/,SaaS（勤怠管理）,小規模,労働DX推進,フレックス制・リモート可,システム開発・HR知識,成果主義,,,,,,,,,,,
株式会社チームラボ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.fancs.com/,IT・デザイン,中規模,クリエイティブ・デザイン志向,フレックス制・リモート可,プロダクト開発・アート思考,成果主義,,,,,,,,,,,
株式会社データX,ISTJ,"ESTJ, ENTJ, ISTP",https://www.fout.co.jp/,データマーケティング,小規模,データドリブンマーケ,フレックス制・リモート可,データ分析・マーケティング,成果主義,,,,,,,,,,,
株式会社デジタルシフト,INFJ,"ENFP, INTJ, ENTP",https://www.medley.jp/,DX推進,小規模,デジタル変革志向,フレックス制・リモート可,事業開発・IT戦略,成果主義,,,,,,,,,,,
株式会社テックタッチ,ENTP,"INFJ, ENFP, ENTJ",https://www.rakus.co.jp/,SaaS（ノーコードDX）,小規模,ノーコード・業務効率化,フレックス制・リモート可,システム導入・マーケティング,成果主義,,,,,,,,,,,
株式会社トレタ,ENTP,"INFJ, ENFP, ENTJ",https://corp.raksul.com/,IT・飲食DX,小規模,飲食データ活用,フレックス制・リモート可,データ解析・マーケティング,成果主義,,,,,,,,,,,
株式会社ナビタイムジャパン,INTJ,"ENTP, INTP, INFJ",https://www.navitime.co.jp/,IT・交通,中規模,交通DX・ナビゲーション,フレックス制・リモート可,データ分析・UI/UX,成果主義,,,,,,,,,,,
株式会社ニッセイアセットマネジメント,INFJ,"ENFP, INTJ, ENTP",https://www.nam.co.jp/,金融（資産運用）,大規模,資産運用志向,固定勤務,金融知識・データ分析,年功序列＋成果評価,,,,,,,,,,,
株式会社ビズメイツ,ENTJ,"ESTJ, ENTP, INTJ",https://www.bizmates.co.jp/,EdTech（英語学習）,小規模,グローバル教育推進,フレックス制・リモート可,英語教育・データ分析,成果主義,,,,,,,,,,,
株式会社ビズリーチ,ENTP,"INFJ, ENFP, ENTJ",https://www.bizreach.co.jp/,HRテック,中規模,キャリア支援DX,フレックス制・リモート可,人材マッチング・営業,成果主義,,,,,,,,,,,
株式会社ファーストアカウンティング,ENFP,"INFJ, ENTP, ENTJ",https://www.fastaccounting.co.jp/,FinTech,小規模,会計DX,フレックス制・リモート可,AI・財務管理,成果主義,,,,,,,,,,,
株式会社ファンコミュニケーションズ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.fancs.com/,IT・アドテク,中規模,デジタル広告,フレックス制・リモート可,広告運用・マーケティング,成果主義,,,,,,,,,,,
株式会社フォトシンス,ENTP,"INFJ, ENFP, ENTJ",https://www.fout.co.jp/,IoT（スマートロック）,小規模,セキュリティDX,フレックス制・リモート可,IoT開発・プロダクト企画,成果主義,,,,,,,,,,,
株式会社フリークアウト,ISTJ,"ESTJ, ENTJ, ISTP",https://www.fout.co.jp/freakout/,IT・アドテク,中規模,デジタル広告,フレックス制・リモート可,広告運用・マーケティング,成果主義,,,,,,,,,,,
株式会社プルデンシャル生命,ENFP,"INFJ, ENTP, ENTJ",https://www.prudential.co.jp/,保険,大規模,成果主義・営業重視,固定勤務,営業・金融知識,成果主義,,,,,,,,,,,
株式会社プレイド,ENFP,"INFJ, ENTP, ENTJ",https://plaid.co.jp/,SaaS（マーケティングDX）,中規模,データ活用マーケ,フレックス制・リモート可,データ分析・マーケティング,成果主義,,,,,,,,,,,
株式会社フレクト,ISFP,"ESFP, ENFP, INFP",https://www.flect.co.jp/,IT・クラウド,小規模,クラウド特化,フレックス制・リモート可,クラウド技術・システム開発,成果主義,,,,,,,,,,,
